text,canonical_form_1,canonical_form_2,canonical_form_3,category_1,category_2,category_3,severity_rating,severity_description
d0ggy style,doggy style,,,sexual anatomy / sexual acts,,,1.8,Strong
d1ck,dick,,,sexual anatomy / sexual acts,,,1,Mild
d1ckhead,dick,,,sexual anatomy / sexual acts,,,1.8,Strong
d1ckheads,dick,,,sexual anatomy / sexual acts,,,1.8,Strong
d1cks,dick,,,sexual anatomy / sexual acts,,,1.4,Mild
d1cksucker,dick,,,sexual anatomy / sexual acts,,,1.8,Strong
d1cksukka,dick,,,sexual anatomy / sexual acts,,,2,Strong
d1ckz,dick,,,sexual anatomy / sexual acts,,,1,Mild
d1ldo,dildo,,,sexual anatomy / sexual acts,,,1.4,Mild
dafuq,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
dago,dago,,,racial / ethnic slurs,,,2.2,Strong
darkass,ass,,,racial / ethnic slurs,,,2.6,Severe
darkfuck,fuck,darky,,sexual anatomy / sexual acts,racial / ethnic slurs,,2.4,Strong
darkie,darky,,,racial / ethnic slurs,,,2.8,Severe
darkshit,shit,,,bodily fluids / excrement,racial / ethnic slurs,,3,Severe
darktard,retard,darky,,racial / ethnic slurs,mental disability,,3,Severe
darky,darky,,,racial / ethnic slurs,,,2.8,Severe
dick breath,dick,,,sexual anatomy / sexual acts,,,2,Strong
dick face,dick,,,sexual anatomy / sexual acts,,,1.8,Strong
dick fucker,fuck,dick,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe
dick head,dick,,,sexual anatomy / sexual acts,,,1.8,Strong
dick licker,dick,,,sexual anatomy / sexual acts,,,2.4,Strong
dick milker,dick,,,sexual anatomy / sexual acts,,,2.2,Strong
dick nibbler,dick,,,sexual anatomy / sexual acts,,,2.4,Strong
dick smoker,dick,,,sexual anatomy / sexual acts,,,2.4,Strong
dick sucker,dick,,,sexual anatomy / sexual acts,,,2.2,Strong
dick-face,dick,,,sexual anatomy / sexual acts,,,1.8,Strong
dick-gobbler,dick,,,sexual anatomy / sexual acts,,,1.8,Strong
dick-head,dick,,,sexual anatomy / sexual acts,,,1.8,Strong
dickface,dick,,,sexual anatomy / sexual acts,,,2,Strong
dickfucker,dick,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe
dickhead,dick,,,sexual anatomy / sexual acts,,,2,Strong
dickheads,dick,,,sexual anatomy / sexual acts,,,1.6,Strong
dickjockies,dick,,,sexual anatomy / sexual acts,,,2.2,Strong
dickless,dick,,,sexual anatomy / sexual acts,,,1.4,Mild
dicklicker,dick,,,sexual anatomy / sexual acts,,,2.2,Strong
dickmuncher,dick,,,sexual anatomy / sexual acts,,,2,Strong
dicks,dick,,,sexual anatomy / sexual acts,,,1,Mild
dickskin,dick,,,sexual anatomy / sexual acts,,,1.8,Strong
dickslapper,dick,,,sexual anatomy / sexual acts,,,1.8,Strong
dicksmoker,dick,,,sexual anatomy / sexual acts,,,2.8,Severe
dicksucker,dick,,,sexual anatomy / sexual acts,,,2.2,Strong
dickvag,dick,,,sexual anatomy / sexual acts,,,1.6,Strong
dickz,dick,,,sexual anatomy / sexual acts,,,1.2,Mild
diddle,diddle,,,sexual anatomy / sexual acts,,,1,Mild
dikhead,dick,,,sexual anatomy / sexual acts,,,1.6,Strong
diks,dick,,,sexual anatomy / sexual acts,,,1.2,Mild
dild0,dildo,,,sexual anatomy / sexual acts,,,1,Mild
dipsh1t,shit,,,mental disability,bodily fluids / excrement,other / general insult,1.6,Strong
dipsh1tty,shit,,,bodily fluids / excrement,,,1.6,Strong
dipshat,shit,,,bodily fluids / excrement,other / general insult,,1.2,Mild
dipshidiot,shit,,,bodily fluids / excrement,mental disability,,1.6,Strong
dipshit,shit,,,bodily fluids / excrement,,,1.4,Mild
dipshite,shit,,,bodily fluids / excrement,,,1.6,Strong
dipshits,shit,,,bodily fluids / excrement,mental disability,,1.6,Strong
dipshitter,shit,,,bodily fluids / excrement,mental disability,,1.6,Strong
dipshitty,shit,,,bodily fluids / excrement,mental disability,,1.8,Strong
dipstick,dipstick,,,sexual anatomy / sexual acts,mental disability,,1.2,Mild
dirty sanchez,dirty sanchez,,,sexual anatomy / sexual acts,,,2.4,Strong
dix,dick,,,sexual anatomy / sexual acts,,,1,Mild
dlck,dick,,,sexual anatomy / sexual acts,,,1.2,Mild
dlcks,dick,,,sexual anatomy / sexual acts,,,1,Mild
dog fuck,fuck,,,sexual anatomy / sexual acts,animal references,,2.8,Severe
dog fucker,fuck,,,sexual anatomy / sexual acts,animal references,,3,Severe
dog fucking,fuck,,,sexual anatomy / sexual acts,animal references,,2.8,Severe
dog shit,shit,,,bodily fluids / excrement,animal references,,1.2,Mild
dog-fucker,fuck,,,sexual anatomy / sexual acts,animal references,,2.8,Severe
dog's bollocks,bollocks,,,sexual anatomy / sexual acts,animal references,,1.2,Mild
doggo style,doggy style,,,sexual anatomy / sexual acts,animal references,,1.2,Mild
doggy style,doggy style,,,sexual anatomy / sexual acts,,,1.4,Mild
doggy_style,doggy style,,,sexual anatomy / sexual acts,animal references,,1.4,Mild
dogie style,doggy style,,,sexual anatomy / sexual acts,,,1,Mild
dogsh1t,shit,,,bodily fluids / excrement,other / general insult,,1.2,Mild
dogsh1ts,shit,,,bodily fluids / excrement,other / general insult,,1,Mild
dogshit,shit,,,bodily fluids / excrement,animal references,,1,Mild
dogshits,shit,,,bodily fluids / excrement,animal references,,1.4,Mild
dogstyle,doggy style,,,sexual anatomy / sexual acts,,,1,Mild
dolt,dolt,,,mental disability,,,1,Mild
dong,dong,,,sexual anatomy / sexual acts,,,1.2,Mild
doosh,douche,,,bodily fluids / excrement,,,1.4,Mild
dothead,dothead,,,racial / ethnic slurs,,,2.6,Severe
double dick,dick,,,sexual anatomy / sexual acts,,,1.6,Strong
double dicking,dick,,,sexual anatomy / sexual acts,,,2.2,Strong
double pen,double pen,,,sexual anatomy / sexual acts,,,1.2,Mild
double-dong,dong,,,sexual anatomy / sexual acts,,,1.4,Mild
douche,douche,,,sexual anatomy / sexual acts,,,1,Mild
douche bag,douche,,,other / general insult,bodily fluids / excrement,,1,Mild
douche canoe,douche,,,sexual anatomy / sexual acts,bodily fluids / excrement,,1.4,Mild
douchebag,douche,,,sexual anatomy / sexual acts,bodily fluids / excrement,,1.4,Mild
dumasses,ass,,,sexual anatomy / sexual acts,mental disability,,1,Mild
dumb bastard,bastard,,,other / general insult,mental disability,,1.2,Mild
dumb fucker,fuck,,,sexual anatomy / sexual acts,mental disability,,2,Strong
dumb@ss,ass,,,sexual anatomy / sexual acts,mental disability,,1.2,Mild
dumbarrassed,ass,,,mental disability,,,1.4,Mild
dumbass,ass,,,mental disability,other / general insult,,1.4,Mild
dumbass fucker,fuck,ass,,sexual anatomy / sexual acts,mental disability,,2.6,Severe
dumbass mofoes,ass,motherfucker,,sexual anatomy / sexual acts,mental disability,,2.4,Strong
dumbass mothafuckers,motherfucker,ass,,sexual anatomy / sexual acts,mental disability,other / general insult,2.8,Severe
dumbass son-of-a-bitch,bitch,ass,,sexual anatomy / sexual acts,sexual orientation / gender,other / general insult,1.8,Strong
dumbasses,ass,,,sexual anatomy / sexual acts,mental disability,,1,Mild
dumbfucks,fuck,,,sexual anatomy / sexual acts,mental disability,,2.2,Strong
dumbshit,shit,,,bodily fluids / excrement,,,1.6,Strong
dump a load,dump a load,,,bodily fluids / excrement,,,1.6,Strong
dune coon,coon,,,racial / ethnic slurs,,,3,Severe
dyke,dyke,,,sexual orientation / gender,,,2.8,Severe
erectoplasm,erectoplasm,,,bodily fluids / excrement,,,1.8,Strong
f_u_c_k,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
f'ed,fuck,,,sexual anatomy / sexual acts,,,1.8,Strong
